SUBURB,POSTCODE,PSTATE,CREATED,CREATED_BY,UPDATED,UPDATED_BY
FINLEY,2713,NSW,,,,
TOCUMWAL,2714,NSW,,,,
BALRANALD,2715,NSW,,,,
HATFIELD,2715,NSW,,,,
JERILDERIE,2716,NSW,,,,
MABINS WELL,2716,NSW,,,,
DARETON,2717,NSW,,,,
GILMORE,2720,NSW,,,,
TALBINGO,2720,NSW,,,,
TUMUT,2720,NSW,,,,
QUANDIALLA,2721,NSW,,,,
BRUNGLE,2722,NSW,,,,
GUNDAGAI,2722,NSW,,,,
MUTTAMA,2722,NSW,,,,
NANGUS,2722,NSW,,,,
STOCKINBINGAL,2725,NSW,,,,
JUGIONG,2726,NSW,,,,
ADJUNGBILLY,2727,NSW,,,,
COOLAC,2727,NSW,,,,
ADELONG,2729,NSW,,,,
BACK CREEK,2729,NSW,,,,
COOLEYS CREEK,2729,NSW,,,,
GRAHAMSTOWN,2729,NSW,,,,
MOUNT HOREB,2729,NSW,,,,
TUMBLONG,2729,NSW,,,,
WONDALGA,2729,NSW,,,,
BATLOW,2730,NSW,,,,
GREEN HILLS,2730,NSW,,,,
BUNNALOO,2731,NSW,,,,
MOAMA,2731,NSW,,,,
WOMBOOTA,2731,NSW,,,,
BARHAM,2732,NSW,,,,
MOULAMEIN,2733,NSW,,,,
KYALITE,2734,NSW,,,,
KORALEIGH,2735,NSW,,,,
GOODNIGHT,2736,NSW,,,,
TOOLEYBUC,2736,NSW,,,,
EUSTON,2737,NSW,,,,
GOL GOL,2738,NSW,,,,
MONAK,2738,NSW,,,,
BURONGA,2739,NSW,,,,
GLENMORE PARK,2745,NSW,,,,
GREENDALE,2745,NSW,,,,
LUDDENHAM,2745,NSW,,,,
MULGOA,2745,NSW,,,,
REGENTVILLE,2745,NSW,,,,
WALLACIA,2745,NSW,,,,
CAMBRIDGE PARK,2747,NSW,,,,
KINGSWOOD,2747,NSW,,,,
LLANDILO,2747,NSW,,,,
SHANES PARK,2747,NSW,,,,
WERRINGTON,2747,NSW,,,,
WERRINGTON COUNTY,2747,NSW,,,,
WERRINGTON DOWNS,2747,NSW,,,,
ORCHARD HILLS,2748,NSW,,,,
CASTLEREAGH,2749,NSW,,,,
CRANEBROOK,2749,NSW,,,,
MOUNT PLEASANT,2749,NSW,,,,
EMU PLAINS,2750,NSW,,,,
LEONAY,2750,NSW,,,,
PENRITH,2750,NSW,,,,
PENRITH BC,2750,NSW,,,,
PENRITH SOUTH DC,2750,NSW,,,,
PENRITH,2751,NSW,,,,
SILVERDALE,2752,NSW,,,,
WARRAGAMBA,2752,NSW,,,,
BOWEN MOUNTAIN,2753,NSW,,,,
GROSE VALE,2753,NSW,,,,
GROSE WOLD,2753,NSW,,,,
HOBARTVILLE,2753,NSW,,,,
LONDONDERRY,2753,NSW,,,,
RICHMOND,2753,NSW,,,,
YARRAMUNDI,2753,NSW,,,,
NORTH RICHMOND,2754,NSW,,,,
TENNYSON,2754,NSW,,,,
RICHMOND,2755,NSW,,,,
BLIGH PARK,2756,NSW,,,,
CATTAI,2756,NSW,,,,
CLARENDON,2756,NSW,,,,
COLO,2756,NSW,,,,
CORNWALLIS,2756,NSW,,,,
EBENEZER,2756,NSW,,,,
FREEMANS REACH,2756,NSW,,,,
GLOSSODIA,2756,NSW,,,,
LOWER PORTLAND,2756,NSW,,,,
MAROOTA,2756,NSW,,,,
MCGRATHS HILL,2756,NSW,,,,
MULGRAVE,2756,NSW,,,,
PITT TOWN,2756,NSW,,,,
SCHEYVILLE,2756,NSW,,,,
WILBERFORCE,2756,NSW,,,,
WINDSOR,2756,NSW,,,,
KURMOND,2757,NSW,,,,
BILPIN,2758,NSW,,,,
BLAXLANDS RIDGE,2758,NSW,,,,
KURRAJONG,2758,NSW,,,,
ERSKINE PARK,2759,NSW,,,,
MOUNT VERNON,2759,NSW,,,,
ST CLAIR,2759,NSW,,,,
COLYTON,2760,NSW,,,,
OXLEY PARK,2760,NSW,,,,
ST MARYS,2760,NSW,,,,
DEAN PARK,2761,NSW,,,,
GLENDENNING,2761,NSW,,,,
HASSALL GROVE,2761,NSW,,,,
OAKHURST,2761,NSW,,,,
PLUMPTON,2761,NSW,,,,
SCHOFIELDS,2762,NSW,,,,
ACACIA GARDENS,2763,NSW,,,,
QUAKERS HILL,2763,NSW,,,,
QUAKERS HILL,2764,NSW,,,,
BERKSHIRE PARK,2765,NSW,,,,
BOX HILL,2765,NSW,,,,
MARAYLYA,2765,NSW,,,,
MARSDEN PARK,2765,NSW,,,,
NELSON,2765,NSW,,,,
OAKVILLE,2765,NSW,,,,
RIVERSTONE,2765,NSW,,,,
VINEYARD,2765,NSW,,,,
EASTERN CREEK,2766,NSW,,,,
ROOTY HILL,2766,NSW,,,,
DOONSIDE,2767,NSW,,,,
WOODCROFT,2767,NSW,,,,
GLENWOOD,2768,NSW,,,,
PARKLEA,2768,NSW,,,,
STANHOPE GARDENS,2768,NSW,,,,
BIDWILL,2770,NSW,,,,
BLACKETT,2770,NSW,,,,
DHARRUK,2770,NSW,,,,
EMERTON,2770,NSW,,,,
HEBERSHAM,2770,NSW,,,,
LETHBRIDGE PARK,2770,NSW,,,,
MINCHINBURY,2770,NSW,,,,
MOUNT DRUITT,2770,NSW,,,,
SHALVEY,2770,NSW,,,,
TREGEAR,2770,NSW,,,,
WHALAN,2770,NSW,,,,
WILLMOT,2770,NSW,,,,
GLENBROOK,2773,NSW,,,,
LAPSTONE,2773,NSW,,,,
BLAXLAND,2774,NSW,,,,
MOUNT RIVERVIEW,2774,NSW,,,,
WARRIMOO,2774,NSW,,,,
CENTRAL MACDONALD,2775,NSW,,,,
LAUGHTONDALE,2775,NSW,,,,
LOWER HAWKESBURY,2775,NSW,,,,
SPENCER,2775,NSW,,,,
ST ALBANS,2775,NSW,,,,
WISEMANS FERRY,2775,NSW,,,,
FAULCONBRIDGE,2776,NSW,,,,
HAWKESBURY HEIGHTS,2777,NSW,,,,
SPRINGWOOD,2777,NSW,,,,
VALLEY HEIGHTS,2777,NSW,,,,
WINMALEE,2777,NSW,,,,
YELLOW ROCK,2777,NSW,,,,
LINDEN,2778,NSW,,,,
WOODFORD,2778,NSW,,,,
HAZELBROOK,2779,NSW,,,,
KATOOMBA,2780,NSW,,,,
LEURA,2780,NSW,,,,
MEDLOW BATH,2780,NSW,,,,
WENTWORTH FALLS,2782,NSW,,,,
LAWSON,2783,NSW,,,,
BULLABURRA,2784,NSW,,,,
BLACKHEATH,2785,NSW,,,,
MEGALONG,2785,NSW,,,,
BELL,2786,NSW,,,,
DARGAN,2786,NSW,,,,
MOUNT IRVINE,2786,NSW,,,,
MOUNT VICTORIA,2786,NSW,,,,
MOUNT WILSON,2786,NSW,,,,
BLACK SPRINGS,2787,NSW,,,,
DUCKMALOI,2787,NSW,,,,
EDITH,2787,NSW,,,,
GINGKIN,2787,NSW,,,,
HAZELGROVE,2787,NSW,,,,
OBERON,2787,NSW,,,,
PORTERS RETREAT,2787,NSW,,,,
SHOOTERS HILL,2787,NSW,,,,
TARANA,2787,NSW,,,,
BOWENFELS,2790,NSW,,,,
CLARENCE,2790,NSW,,,,
COBAR PARK,2790,NSW,,,,
CULLEN BULLEN,2790,NSW,,,,
HAMPTON,2790,NSW,,,,
HARTLEY,2790,NSW,,,,
JENOLAN CAVES,2790,NSW,,,,
LIDSDALE,2790,NSW,,,,
LITHGOW,2790,NSW,,,,
LITTLE HARTLEY,2790,NSW,,,,
LOWTHER,2790,NSW,,,,
MARRANGAROO,2790,NSW,,,,
RYDAL,2790,NSW,,,,
SODWALLS,2790,NSW,,,,
CARCOAR,2791,NSW,,,,
MANDURAMA,2792,NSW,,,,
DARBYS FALLS,2793,NSW,,,,
WOODSTOCK,2793,NSW,,,,
BUMBALDRY,2794,NSW,,,,
COWRA,2794,NSW,,,,
NOONBINNA,2794,NSW,,,,
WATTAMONDARA,2794,NSW,,,,
WESTVILLE,2794,NSW,,,,
BALD RIDGE,2795,NSW,,,,
BALLYROE,2795,NSW,,,,
BATHURST,2795,NSW,,,,
BREWONGLE,2795,NSW,,,,
BURRAGA,2795,NSW,,,,
DARK CORNER,2795,NSW,,,,
DUNKELD,2795,NSW,,,,
DURAMANA,2795,NSW,,,,
EGLINTON,2795,NSW,,,,
FREEMANTLE,2795,NSW,,,,
GEMALLA,2795,NSW,,,,
GEORGES PLAINS,2795,NSW,,,,
HOBBYS YARDS,2795,NSW,,,,
ISABELLA,2795,NSW,,,,
JUDDS CREEK,2795,NSW,,,,
KELSO,2795,NSW,,,,
LOCKSLEY,2795,NSW,,,,
MEADOW FLAT,2795,NSW,,,,
MOUNT DAVID,2795,NSW,,,,
NEWBRIDGE,2795,NSW,,,,
PEEL,2795,NSW,,,,
PERTHVILLE,2795,NSW,,,,
RAGLAN,2795,NSW,,,,
ROCKLEY,2795,NSW,,,,
SOFALA,2795,NSW,,,,
SUNNY CORNER,2795,NSW,,,,
THE ROCKS,2795,NSW,,,,
TRUNKEY,2795,NSW,,,,
TURONDALE,2795,NSW,,,,
WAMBOOL,2795,NSW,,,,
WATTLE FLAT,2795,NSW,,,,
WEST BATHURST,2795,NSW,,,,
WIMBLEDON,2795,NSW,,,,
WISEMANS CREEK,2795,NSW,,,,
YETHOLME,2795,NSW,,,,
GARLAND,2797,NSW,,,,
LYNDHURST,2797,NSW,,,,
FOREST REEFS,2798,NSW,,,,
MILLTHORPE,2798,NSW,,,,
TALLWOOD,2798,NSW,,,,
BARRY,2799,NSW,,,,
BLAYNEY,2799,NSW,,,,
BROWNS CREEK,2799,NSW,,,,
NEVILLE,2799,NSW,,,,
VITTORIA,2799,NSW,,,,
BORENORE,2800,NSW,,,,
BOWEN,2800,NSW,,,,
CARGO,2800,NSW,,,,
LUCKNOW,2800,NSW,,,,
MARCH,2800,NSW,,,,
MULLION CREEK,2800,NSW,,,,
NARRAMBLA,2800,NSW,,,,
NASHDALE,2800,NSW,,,,
ORANGE,2800,NSW,,,,
SPRING HILL,2800,NSW,,,,
BENDICK MURRELL,2803,NSW,,,,
CROWTHER,2803,NSW,,,,
WIRRIMAH,2803,NSW,,,,
CANOWINDRA,2804,NSW,,,,
GOOLOOGONG,2805,NSW,,,,
EUGOWRA,2806,NSW,,,,
KOORAWATHA,2807,NSW,,,,
WYANGALA DAM,2808,NSW,,,,
GREENETHORPE,2809,NSW,,,,
BIMBI,2810,NSW,,,,
CARAGABAL,2810,NSW,,,,
GRENFELL,2810,NSW,,,,
PULLABOOKA,2810,NSW,,,,
ARTHURVILLE,2820,NSW,,,,
BAKERS SWAMP,2820,NSW,,,,
BODANGORA,2820,NSW,,,,
DRIPSTONE,2820,NSW,,,,
FARNHAM,2820,NSW,,,,
MARYVALE,2820,NSW,,,,
MUMBIL,2820,NSW,,,,
NEUREA,2820,NSW,,,,
SPICERS CREEK,2820,NSW,,,,
STUART TOWN,2820,NSW,,,,
WALMER,2820,NSW,,,,
WELLINGTON,2820,NSW,,,,
NARROMINE,2821,NSW,,,,
TRANGIE,2823,NSW,,,,
WARREN,2824,NSW,,,,
BOGAN,2825,NSW,,,,
CANONBA,2825,NSW,,,,
MIANDETTA,2825,NSW,,,,
MULLENGUDGERY,2825,NSW,,,,
NYNGAN,2825,NSW,,,,
WESTERN PLAINS MSC,2826,NSW,,,,
COLLIE,2827,NSW,,,,
CURBAN,2827,NSW,,,,
GILGANDRA,2827,NSW,,,,
GULARGAMBONE,2828,NSW,,,,
WARRUMBUNGLE,2828,NSW,,,,
COMBARA,2829,NSW,,,,
COONAMBLE,2829,NSW,,,,
BALLIMORE,2830,NSW,,,,
BROCKLEHURST,2830,NSW,,,,
DUBBO,2830,NSW,,,,
MOGRIGUY,2830,NSW,,,,
MURONBUNG,2830,NSW,,,,
ARMATREE,2831,NSW,,,,
BALLADORAN,2831,NSW,,,,
BYROCK,2831,NSW,,,,
CARINDA,2831,NSW,,,,
COOLABAH,2831,NSW,,,,
ELONG ELONG,2831,NSW,,,,
EUMUNGERIE,2831,NSW,,,,
GEURIE,2831,NSW,,,,
GIRILAMBONE,2831,NSW,,,,
GOODOOGA,2831,NSW,,,,
HERMIDALE,2831,NSW,,,,
MERRYGOEN,2831,NSW,,,,
NEILREX,2831,NSW,,,,
NEVERTIRE,2831,NSW,,,,
NYMAGEE,2831,NSW,,,,
QUAMBONE,2831,NSW,,,,
TOORAWEENAH,2831,NSW,,,,
WONGARBON,2831,NSW,,,,
COME BY CHANCE,2832,NSW,,,,
CRYON,2832,NSW,,,,
CUMBORAH,2832,NSW,,,,
WALGETT,2832,NSW,,,,
COLLARENEBRI,2833,NSW,,,,
POKATAROO,2833,NSW,,,,
LIGHTNING RIDGE,2834,NSW,,,,
COBAR,2835,NSW,,,,
WHITE CLIFFS,2836,NSW,,,,
WILCANNIA,2836,NSW,,,,
BREWARRINA,2839,NSW,,,,
WEILMORINGLE,2839,NSW,,,,
BARRINGUN,2840,NSW,,,,
BOURKE,2840,NSW,,,,
ENNGONIA,2840,NSW,,,,
FORDS BRIDGE,2840,NSW,,,,
LOUTH,2840,NSW,,,,
TILPA,2840,NSW,,,,
URISINO,2840,NSW,,,,
WANAARING,2840,NSW,,,,
YANTABULLA,2840,NSW,,,,
MENDOORAN,2842,NSW,,,,
NEW MOLLYAN,2842,NSW,,,,
COOLAH,2843,NSW,,,,
BIRRIWA,2844,NSW,,,,
COBBORA,2844,NSW,,,,
CRABOON,2844,NSW,,,,
DUNEDOO,2844,NSW,,,,
LEADVILLE,2844,NSW,,,,
TUCKLAN,2844,NSW,,,,
WALLERAWANG,2845,NSW,,,,
CAPERTEE,2846,NSW,,,,
GLEN DAVIS,2846,NSW,,,,
PIPERS FLAT,2847,NSW,,,,
PORTLAND,2847,NSW,,,,
CHARBON,2848,NSW,,,,
CLANDULLA,2848,NSW,,,,
KANDOS,2848,NSW,,,,
BYLONG,2849,NSW,,,,
RYLSTONE,2849,NSW,,,,
HARGRAVES,2850,NSW,,,,
HAVILAH,2850,NSW,,,,
HILL END,2850,NSW,,,,
ILFORD,2850,NSW,,,,
LUE,2850,NSW,,,,
MUDGEE,2850,NSW,,,,
RUNNING STREAM,2850,NSW,,,,
TURILL,2850,NSW,,,,
TWELVE MILE,2850,NSW,,,,
ULAN,2850,NSW,,,,
WILBETREE,2850,NSW,,,,
WINDEYER,2850,NSW,,,,
WOLLAR,2850,NSW,,,,
YARRAWONGA,2850,NSW,,,,
GOOLMA,2852,NSW,,,,
GULGONG,2852,NSW,,,,
LAHEYS CREEK,2852,NSW,,,,
TWO MILE FLAT,2852,NSW,,,,
CUDAL,2864,NSW,,,,
MURGA,2864,NSW,,,,
TOOGONG,2864,NSW,,,,
MANILDRA,2865,NSW,,,,
EUCHAREENA,2866,NSW,,,,
GARRA,2866,NSW,,,,
LARRAS LEE,2866,NSW,,,,
MOLONG,2866,NSW,,,,
BALDRY,2867,NSW,,,,
CUMNOCK,2867,NSW,,,,
YEOVAL,2868,NSW,,,,
PEAK HILL,2869,NSW,,,,
TOMINGLEY,2869,NSW,,,,
TREWILGA,2869,NSW,,,,
ALECTOWN,2870,NSW,,,,
COOKAMIDGERA,2870,NSW,,,,
DAROOBALGIE,2870,NSW,,,,
GOONUMBLA,2870,NSW,,,,
MANDAGERY,2870,NSW,,,,
NELUNGALOO,2870,NSW,,,,
PARKES,2870,NSW,,,,
TICHBORNE,2870,NSW,,,,
BEDGEREBONG,2871,NSW,,,,
FORBES,2871,NSW,,,,
GAREMA,2871,NSW,,,,
WIRRINYA,2871,NSW,,,,
ALBERT,2873,NSW,,,,
TOTTENHAM,2873,NSW,,,,
TULLAMORE,2874,NSW,,,,
FIFIELD,2875,NSW,,,,
OOTHA,2875,NSW,,,,
TRUNDLE,2875,NSW,,,,
YARRABANDI,2875,NSW,,,,
BOGAN GATE,2876,NSW,,,,
GUNNINGBLAND,2876,NSW,,,,
CONDOBOLIN,2877,NSW,,,,
DERRIWONG,2877,NSW,,,,
EUABALONG,2877,NSW,,,,
MOUNT HOPE,2877,NSW,,,,
CONOBLE,2878,NSW,,,,
DARNICK,2878,NSW,,,,
IVANHOE,2878,NSW,,,,
MOSSGIEL,2878,NSW,,,,
TRIDA,2878,NSW,,,,
MENINDEE,2879,NSW,,,,
BROKEN HILL,2880,NSW,,,,
MILPARINKA,2880,NSW,,,,
SILVERTON,2880,NSW,,,,
TIBOOBURRA,2880,NSW,,,,
AUSTRALIAN DEFENCE FORCES,2890,NSW,,,,
LORD HOWE ISLAND,2898,NSW,,,,
NORFOLK ISLAND,2899,NSW,,,,
GREENWAY,2900,ACT,,,,
TUGGERANONG,2900,ACT,,,,
TUGGERANONG DC,2901,ACT,,,,
KAMBAH,2902,ACT,,,,
ERINDALE CENTRE,2903,ACT,,,,
OXLEY,2903,ACT,,,,
WANNIASSA,2903,ACT,,,,
FADDEN,2904,ACT,,,,
GOWRIE,2904,ACT,,,,
MACARTHUR,2904,ACT,,,,
MONASH,2904,ACT,,,,
BONYTHON,2905,ACT,,,,
CALWELL,2905,ACT,,,,
CHISHOLM,2905,ACT,,,,
GILMORE,2905,ACT,,,,
ISABELLA PLAINS,2905,ACT,,,,
RICHARDSON,2905,ACT,,,,
THEODORE,2905,ACT,,,,
BANKS,2906,ACT,,,,
CONDER,2906,ACT,,,,
GORDON,2906,ACT,,,,
CRACE,2911,ACT,,,,
KENNY,2911,ACT,,,,
MITCHELL,2911,ACT,,,,
MITCHELL DC,2911,ACT,,,,
GUNGAHLIN,2912,ACT,,,,
CASEY,2913,ACT,,,,
FRANKLIN,2913,ACT,,,,
GINNINDERRA VILLAGE,2913,ACT,,,,
KINLYSIDE,2913,ACT,,,,
NGUNNAWAL,2913,ACT,,,,
NICHOLLS,2913,ACT,,,,
PALMERSTON,2913,ACT,,,,
TAYLOR,2913,ACT,,,,
AMAROO,2914,ACT,,,,
FORDE,2914,ACT,,,,
HARRISON,2914,ACT,,,,
MONCRIEFF,2914,ACT,,,,
MULANGGARRI,2914,ACT,,,,
THROSBY,2914,ACT,,,,
MELBOURNE,3000,VIC,,,,
MELBOURNE,3001,VIC,,,,
EAST MELBOURNE,3002,VIC,,,,
PARLIAMENT HOUSE,3002,VIC,,,,
WEST MELBOURNE,3003,VIC,,,,
QUEENS ROAD MELBOURNE,3004,VIC,,,,
ST KILDA ROAD MELBOURNE,3004,VIC,,,,
WORLD TRADE CENTRE,3005,VIC,,,,
SOUTHBANK,3006,VIC,,,,
DOCKLANDS,3008,VIC,,,,
UNIVERSITY OF MELBOURNE,3010,VIC,,,,
FOOTSCRAY,3011,VIC,,,,
SEDDON,3011,VIC,,,,
SEDDON WEST,3011,VIC,,,,
BROOKLYN,3012,VIC,,,,
KINGSVILLE,3012,VIC,,,,
MAIDSTONE,3012,VIC,,,,
TOTTENHAM,3012,VIC,,,,
WEST FOOTSCRAY,3012,VIC,,,,
YARRAVILLE,3013,VIC,,,,
YARRAVILLE WEST,3013,VIC,,,,
NEWPORT,3015,VIC,,,,
SOUTH KINGSVILLE,3015,VIC,,,,
SPOTSWOOD,3015,VIC,,,,
WILLIAMSTOWN,3016,VIC,,,,
ALTONA,3018,VIC,,,,
SEAHOLME,3018,VIC,,,,
BRAYBROOK,3019,VIC,,,,
ROBINSON,3019,VIC,,,,
ALBION,3020,VIC,,,,
SUNSHINE,3020,VIC,,,,
ALBANVALE,3021,VIC,,,,
KEALBA,3021,VIC,,,,
KINGS PARK,3021,VIC,,,,
ST ALBANS,3021,VIC,,,,
ARDEER,3022,VIC,,,,
DEER PARK EAST,3022,VIC,,,,
BURNSIDE,3023,VIC,,,,
CAIRNLEA,3023,VIC,,,,
CAROLINE SPRINGS,3023,VIC,,,,
DEER PARK,3023,VIC,,,,
MOUNT COTTRELL,3024,VIC,,,,
WYNDHAM VALE,3024,VIC,,,,
ALTONA NORTH,3025,VIC,,,,
LAVERTON NORTH,3026,VIC,,,,
ALTONA MEADOWS,3028,VIC,,,,
LAVERTON,3028,VIC,,,,
HOPPERS CROSSING,3029,VIC,,,,
TARNEIT,3029,VIC,,,,
TRUGANINA,3029,VIC,,,,
DERRIMUT,3030,VIC,,,,
POINT COOK,3030,VIC,,,,
WERRIBEE,3030,VIC,,,,
FLEMINGTON,3031,VIC,,,,
KENSINGTON,3031,VIC,,,,
ASCOT VALE,3032,VIC,,,,
HIGHPOINT CITY,3032,VIC,,,,
MARIBYRNONG,3032,VIC,,,,
TRAVANCORE,3032,VIC,,,,
KEILOR EAST,3033,VIC,,,,
AVONDALE HEIGHTS,3034,VIC,,,,
KEILOR,3036,VIC,,,,
DELAHEY,3037,VIC,,,,
HILLSIDE,3037,VIC,,,,
SYDENHAM,3037,VIC,,,,
KEILOR DOWNS,3038,VIC,,,,
TAYLORS LAKES,3038,VIC,,,,
MOONEE PONDS,3039,VIC,,,,
ABERFELDIE,3040,VIC,,,,
ESSENDON,3040,VIC,,,,
ESSENDON WEST,3040,VIC,,,,
ESSENDON NORTH,3041,VIC,,,,
STRATHMORE,3041,VIC,,,,
STRATHMORE HEIGHTS,3041,VIC,,,,
AIRPORT WEST,3042,VIC,,,,
KEILOR PARK,3042,VIC,,,,
NIDDRIE,3042,VIC,,,,
GLADSTONE PARK,3043,VIC,,,,
GOWANBRAE,3043,VIC,,,,
TULLAMARINE,3043,VIC,,,,
PASCOE VALE,3044,VIC,,,,
PASCOE VALE SOUTH,3044,VIC,,,,
MELBOURNE AIRPORT,3045,VIC,,,,
GLENROY,3046,VIC,,,,
HADFIELD,3046,VIC,,,,
OAK PARK,3046,VIC,,,,
BROADMEADOWS,3047,VIC,,,,
DALLAS,3047,VIC,,,,
JACANA,3047,VIC,,,,
COOLAROO,3048,VIC,,,,
MEADOW HEIGHTS,3048,VIC,,,,
ATTWOOD,3049,VIC,,,,
WESTMEADOWS,3049,VIC,,,,
ROYAL MELBOURNE HOSPITAL,3050,VIC,,,,
HOTHAM HILL,3051,VIC,,,,
NORTH MELBOURNE,3051,VIC,,,,
MELBOURNE UNIVERSITY,3052,VIC,,,,
PARKVILLE,3052,VIC,,,,
CARLTON,3053,VIC,,,,
CARLTON SOUTH,3053,VIC,,,,
CARLTON NORTH,3054,VIC,,,,
BRUNSWICK WEST,3055,VIC,,,,
BRUNSWICK,3056,VIC,,,,
BRUNSWICK EAST,3057,VIC,,,,
COBURG,3058,VIC,,,,
COBURG NORTH,3058,VIC,,,,
MERLYNSTON,3058,VIC,,,,
MORELAND,3058,VIC,,,,
GREENVALE,3059,VIC,,,,
FAWKNER,3060,VIC,,,,
CAMPBELLFIELD,3061,VIC,,,,
SOMERTON,3062,VIC,,,,
OAKLANDS JUNCTION,3063,VIC,,,,
YUROKE,3063,VIC,,,,
CRAIGIEBURN,3064,VIC,,,,
DONNYBROOK,3064,VIC,,,,
KALKALLO,3064,VIC,,,,
MICKLEHAM,3064,VIC,,,,
ROXBURGH PARK,3064,VIC,,,,
FITZROY,3065,VIC,,,,
COLLINGWOOD,3066,VIC,,,,
ABBOTSFORD,3067,VIC,,,,
CLIFTON HILL,3068,VIC,,,,
FITZROY NORTH,3068,VIC,,,,
NORTHCOTE,3070,VIC,,,,
THORNBURY,3071,VIC,,,,
NORTHLAND CENTRE,3072,VIC,,,,
PRESTON,3072,VIC,,,,
PRESTON SOUTH,3072,VIC,,,,
REGENT WEST,3072,VIC,,,,
KEON PARK,3073,VIC,,,,
RESERVOIR,3073,VIC,,,,
THOMASTOWN,3074,VIC,,,,
LALOR,3075,VIC,,,,
EPPING,3076,VIC,,,,
EPPING DC,3076,VIC,,,,
ALPHINGTON,3078,VIC,,,,
FAIRFIELD,3078,VIC,,,,
IVANHOE,3079,VIC,,,,
IVANHOE EAST,3079,VIC,,,,
HEIDELBERG HEIGHTS,3081,VIC,,,,
HEIDELBERG RGH,3081,VIC,,,,
HEIDELBERG WEST,3081,VIC,,,,
MILL PARK,3082,VIC,,,,
BUNDOORA,3083,VIC,,,,
KINGSBURY,3083,VIC,,,,
BANYULE,3084,VIC,,,,
EAGLEMONT,3084,VIC,,,,
HEIDELBERG,3084,VIC,,,,
ROSANNA,3084,VIC,,,,
VIEWBANK,3084,VIC,,,,
MACLEOD,3085,VIC,,,,
YALLAMBIE,3085,VIC,,,,
WATSONIA,3087,VIC,,,,
BRIAR HILL,3088,VIC,,,,
GREENSBOROUGH,3088,VIC,,,,
SAINT HELENA,3088,VIC,,,,
DIAMOND CREEK,3089,VIC,,,,
PLENTY,3090,VIC,,,,
YARRAMBAT,3091,VIC,,,,
LOWER PLENTY,3093,VIC,,,,
MONTMORENCY,3094,VIC,,,,
ELTHAM,3095,VIC,,,,
ELTHAM NORTH,3095,VIC,,,,
RESEARCH,3095,VIC,,,,
WATTLE GLEN,3096,VIC,,,,
BEND OF ISLANDS,3097,VIC,,,,
KANGAROO GROUND,3097,VIC,,,,
WATSONS CREEK,3097,VIC,,,,
ARTHURS CREEK,3099,VIC,,,,
COTTLES BRIDGE,3099,VIC,,,,
HURSTBRIDGE,3099,VIC,,,,
NUTFIELD,3099,VIC,,,,
STRATHEWEN,3099,VIC,,,,
KEW,3101,VIC,,,,
KEW EAST,3102,VIC,,,,
BALWYN,3103,VIC,,,,
BALWYN NORTH,3104,VIC,,,,
BULLEEN,3105,VIC,,,,
TEMPLESTOWE,3106,VIC,,,,
TEMPLESTOWE HEIGHTS,3107,VIC,,,,
TEMPLESTOWE LOWER,3107,VIC,,,,
DONCASTER,3108,VIC,,,,
DONCASTER EAST,3109,VIC,,,,
DONCASTER HEIGHTS,3109,VIC,,,,
TUNSTALL SQUARE PO,3109,VIC,,,,
NUNAWADING BC,3110,VIC,,,,
DONVALE,3111,VIC,,,,
NORTH WARRANDYTE,3113,VIC,,,,
WARRANDYTE,3113,VIC,,,,
PARK ORCHARDS,3114,VIC,,,,
WONGA PARK,3115,VIC,,,,
CHIRNSIDE PARK,3116,VIC,,,,
BURNLEY,3121,VIC,,,,
RICHMOND,3121,VIC,,,,
HAWTHORN,3122,VIC,,,,
HAWTHORN EAST,3123,VIC,,,,
CAMBERWELL,3124,VIC,,,,
CAMBERWELL NORTH,3124,VIC,,,,
CAMBERWELL SOUTH,3124,VIC,,,,
CAMBERWELL WEST,3124,VIC,,,,
MIDDLE CAMBERWELL,3124,VIC,,,,
BENNETTSWOOD,3125,VIC,,,,
BURWOOD,3125,VIC,,,,
CAMBERWELL EAST,3126,VIC,,,,
CANTERBURY,3126,VIC,,,,
MONT ALBERT,3127,VIC,,,,
SURREY HILLS,3127,VIC,,,,
BOX HILL,3128,VIC,,,,
BOX HILL SOUTH,3128,VIC,,,,
HOUSTON,3128,VIC,,,,
WATTLE PARK,3128,VIC,,,,
BOX HILL NORTH,3129,VIC,,,,
KERRIMUIR,3129,VIC,,,,
MONT ALBERT NORTH,3129,VIC,,,,
BLACKBURN,3130,VIC,,,,
BLACKBURN NORTH,3130,VIC,,,,
BLACKBURN SOUTH,3130,VIC,,,,
LABURNUM,3130,VIC,,,,
BRENTFORD SQUARE,3131,VIC,,,,
FOREST HILL,3131,VIC,,,,
NUNAWADING,3131,VIC,,,,
MITCHAM,3132,VIC,,,,
RANGEVIEW,3132,VIC,,,,
VERMONT,3133,VIC,,,,
VERMONT SOUTH,3133,VIC,,,,
RINGWOOD,3134,VIC,,,,
RINGWOOD NORTH,3134,VIC,,,,
WARRANDYTE SOUTH,3134,VIC,,,,
WARRANWOOD,3134,VIC,,,,
BEDFORD ROAD,3135,VIC,,,,
HEATHMONT,3135,VIC,,,,
RINGWOOD EAST,3135,VIC,,,,
CROYDON,3136,VIC,,,,
CROYDON HILLS,3136,VIC,,,,
CROYDON NORTH,3136,VIC,,,,
CROYDON SOUTH,3136,VIC,,,,
KILSYTH,3137,VIC,,,,
KILSYTH SOUTH,3137,VIC,,,,
